cycle_id,farmer_id,farmer_code,crop_name,season,acreage,expected_yield_qtl,actual_yield_qtl,realization_price_inr,input_cost_per_acre,total_input_cost
f56e1e18-85a3-41e6-a217-13fedd89c133,62035909-0b1c-45bb-b967-8c20f8e90887,NSK-101,Gram (Chana),Rabi 2025,4.98,67.2,74.0,5400.0,14000.0,69720.0
27a184b7-d6ed-418a-b796-068567d95d3e,57007824-db31-4fa2-a768-78c8d0e5a510,NSK-102,Red Onion (Garva),Rabi 2025,3.96,285.1,276.0,2450.0,22000.0,87120.0
d7b6135b-dfc4-432e-aefd-a9ab290ade13,792eff8d-d827-499d-a7dc-e24a221ee7c3,NSK-103,Table Grapes (Thompson),Annual 2025,2.08,205.9,189.3,4200.0,65000.0,135200.0
3252f0ff-f8ff-4a18-bb66-f79a0ac21f86,22f45956-b849-487b-b030-4d8fed0d7ab1,NSK-104,Gram (Chana),Rabi 2025,6.41,86.5,93.2,5400.0,14000.0,89740.0
a85b7c46-27cb-4b53-9280-5bff32f34a75,0d8f7589-d027-4eed-af0e-bb583ca8a093,NSK-105,Soybean (JS-335),Kharif 2025,4.6,74.5,85.1,4600.0,16000.0,73600.0
e3045cfd-20d7-4d58-a7e9-145a9b44f91f,5e5e00d7-68c4-4bf7-88ef-47b94cd87bd2,NSK-106,Red Onion (Garva),Rabi 2025,2.74,197.3,191.9,2450.0,22000.0,60280.0
799ae5fc-476e-4161-8965-db03f7a26e95,a1651293-5ed7-4737-aa69-37f8f4901b4b,NSK-107,Table Grapes (Thompson),Annual 2025,7.67,759.3,826.3,4200.0,65000.0,498550.0
6587d99a-da36-418c-a1b3-958f926bac1a,ad65b1bd-84bc-475f-9757-f2f4d4676397,NSK-108,Gram (Chana),Rabi 2025,2.87,38.7,43.0,5400.0,14000.0,40180.0
322dd011-b7f9-487a-b467-3b6d4f8ab610,6971399f-0d78-4065-8c5b-776637447672,NSK-109,Soybean (JS-335),Kharif 2025,3.03,49.1,42.6,4600.0,16000.0,48480.0
3a03999d-b054-4602-a132-793e42632e98,392f99bf-f01d-4071-a507-7dd7ed8b0838,NSK-110,Gram (Chana),Rabi 2025,4.04,54.5,58.3,5400.0,14000.0,56560.0
ec89a5b4-f57a-4fe8-81c5-7a885d61c1f0,77f495f1-0b32-44ee-ae26-b0523c9dde44,NSK-111,Soybean (JS-335),Kharif 2025,3.66,59.3,60.6,4600.0,16000.0,58560.0
2be6817a-e5fe-4256-a824-6c98cfb4cf84,023383f4-4353-4edd-a5ef-8bcc67880764,NSK-112,Soybean (JS-335),Kharif 2025,3.58,58.0,55.8,4600.0,16000.0,57280.0
ef434f78-dab7-4c32-8ab9-cf80da370199,588aa4e4-c936-43bf-a8e7-78233471e03d,NSK-113,Red Onion (Garva),Rabi 2025,6.43,463.0,416.4,2450.0,22000.0,141460.0
cd48b3af-3a31-4458-a3c7-cb3e2518ad31,a849c0d7-53c3-4206-b54b-e21cdcc25297,NSK-114,Bhagawa Pomegranate,Mrug 2025,2.95,132.8,150.0,6800.0,48000.0,141600.0
1261d68e-a37b-48fe-88ef-b12ddcc36491,fb41b06f-efd8-48ea-9232-d5f5b0fe782a,NSK-115,Bhagawa Pomegranate,Mrug 2025,2.19,98.5,91.1,6800.0,48000.0,105120.0
ae61677f-aada-4b7e-b5ed-acdca8910f9d,9025e61d-b5f9-4eb7-97c3-293579eac8dd,NSK-116,Soybean (JS-335),Kharif 2025,3.41,55.2,55.4,4600.0,16000.0,54560.0
22c8f415-d427-4920-b552-dea305a6505f,7eceeedb-15ec-4cd6-afec-1c230e6fb9ee,NSK-117,Bhagawa Pomegranate,Mrug 2025,4.07,183.2,182.3,6800.0,48000.0,195360.0
deb5d81c-9a0d-425a-9f0c-b9e3ae615b1f,b62175d4-f4b5-4b6f-938a-e5f2bbfe7642,NSK-118,Red Onion (Garva),Rabi 2025,7.36,529.9,465.7,2450.0,22000.0,161920.0
19b6a30a-f875-467a-9afc-2fe535d4627b,95e9143f-d611-407e-989c-c34862c21792,NSK-119,Soybean (JS-335),Kharif 2025,4.11,66.6,64.6,4600.0,16000.0,65760.0
3e1fae9c-90a3-45c8-96a5-456ce553f316,40b5d920-a3df-4f04-8174-c767b372645f,NSK-120,Table Grapes (Thompson),Annual 2025,1.85,183.2,191.9,4200.0,65000.0,120250.0
35b57de0-5203-423a-ad3c-3058ced35a99,6fa29e8b-1c82-409b-801d-2ca159322214,NSK-121,Red Onion (Garva),Rabi 2025,5.08,365.8,343.5,2450.0,22000.0,111760.0
c353194b-3e86-4603-9b8f-6cd424790502,d9e4b95d-dd86-4e96-b674-8e6c0b0b081a,NSK-122,Soybean (JS-335),Kharif 2025,2.11,34.2,33.6,4600.0,16000.0,33760.0
0364a920-3783-4009-ac20-a2c6e739d8a2,c814e17e-777c-458e-bfcd-750a6dcdbb09,NSK-123,Table Grapes (Thompson),Annual 2025,7.55,747.5,706.5,4200.0,65000.0,490750.0
ef096e27-3d73-44aa-b8d2-29ae44483a0f,b0ead15a-7692-4e00-8637-d7e6f668111a,NSK-124,Red Onion (Garva),Rabi 2025,6.23,448.6,488.0,2450.0,22000.0,137060.0
3e661c9c-b674-4219-842a-175848e54fe0,d31e4a4c-783e-4125-a776-441025f9643c,NSK-125,Soybean (JS-335),Kharif 2025,1.54,24.9,21.8,4600.0,16000.0,24640.0
